symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
BERGEPAINT,Berger Paints (I) Limited,7(2),SUBRATA BAG,2025-06-12 18:26:00,1183584,,0,0,0,0,Equity Shares,300.0,543544,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183584_1466066_12062025062615_WEB.xml,Employees/Designated Employees,614.0,0.0,170475.0,Equity Shares,314.0,0.0,,,,Market Sale,,NSE,
TRANSRAILL,Transrail Lighting Limited,7(2),Asiana Fund I,2025-06-12 18:10:00,1183582,,0,0,0,0,Equity Shares,140648.0,543542,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183582_1466055_12062025061042_WEB.xml,Other,7340388.0,5.47,95071867.0,Equity Shares,7199740.0,5.36,,,,Market Sale,,NSE,
BSOFT,BIRLASOFT LIMITED,7(2),Praveen Siddannavar,2025-06-12 18:09:00,1183580,,0,0,0,0,Equity Shares,2500.0,543539,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183580_1466052_12062025060902_WEB.xml,Employees/Designated Employees,42500.0,0.02,1075650.0,Equity Shares,40000.0,0.01,,,,Market Sale,,NSE,
BSOFT,BIRLASOFT LIMITED,7(2),Praveen Siddannavar,2025-06-12 18:09:00,1183580,,0,0,0,0,Equity Shares,7307.0,543540,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183580_1466052_12062025060902_WEB.xml,Employees/Designated Employees,49807.0,0.02,3123558.0,Equity Shares,42500.0,0.02,,,,Market Sale,,NSE,
STLTECH,Sterlite Technologies Limited,7(2),ANAND AGARWAL,2025-06-12 18:08:00,1183579,,0,0,0,0,Equity Shares,25000.0,543535,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183579_1466049_12062025060828_WEB.xml,Other,,0.0,1891000.0,Equity Shares,25000.0,0.0,,,,Market Purchase,,NSE,
STLTECH,Sterlite Technologies Limited,7(2),Ankit Agarwal,2025-06-12 18:08:00,1183579,,0,0,0,0,Equity Shares,17266.0,543536,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183579_1466049_12062025060828_WEB.xml,Promoter Group,838676.0,0.17,1303571.0,Equity Shares,855942.0,0.18,,,,Market Purchase,,NSE,
STLTECH,Sterlite Technologies Limited,7(2),Ankit Agarwal,2025-06-12 18:08:00,1183579,,0,0,0,0,Equity Shares,105124.0,543537,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183579_1466049_12062025060828_WEB.xml,Promoter Group,855942.0,0.18,7969397.0,Equity Shares,961066.0,0.2,,,,Market Purchase,,NSE,
STLTECH,Sterlite Technologies Limited,7(2),Pravin Agarwal,2025-06-12 18:08:00,1183579,,0,0,0,0,Equity Shares,75000.0,543538,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183579_1466049_12062025060828_WEB.xml,Promoter Group,50000.0,0.01,5724497.0,Equity Shares,125000.0,0.03,,,,Market Purchase,,NSE,
HPIL,Hindprakash Industries Limited,7(2),ASHA GARG,2025-06-12 18:07:00,1183578,,0,0,0,0,Equity Shares,400000.0,543534,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183578_1466046_12062025060736_WEB.xml,Promoter Group,,0.0,0.0,Equity Shares,400000.0,3.5,,,,Gift,,NA,
TGL,Teerth Gopicon Limited,7(2),CHANDRIKABEN M KUMBHANI,2025-06-12 17:59:00,1183573,,0,0,0,0,Equity Shares,10000.0,543526,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183573_1466037_12062025055952_WEB.xml,Promoters,1209800.0,10.08,1560500.0,Equity Shares,1219800.0,10.16,,,,Market Purchase,,NSE,
INTLCONV,International Conveyors Limited,7(2),Elpro International Limited,2025-06-12 17:57:00,1183571,,0,0,0,0,Equity Shares,41053.0,543524,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183571_1466031_12062025055751_WEB.xml,Promoter Group,339531.0,0.54,3453949.0,Equity Shares,380584.0,0.6,,,,Market Purchase,,NSE,
TGL,Teerth Gopicon Limited,7(2),MAHESHBHAI M KUMBHANI,2025-06-12 17:52:00,1183569,,0,0,0,0,Equity Shares,15000.0,543522,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183569_1466027_12062025055201_WEB.xml,Promoters,4861200.0,40.51,2340750.0,Equity Shares,4876200.0,40.64,,,,Market Purchase,,NSE,
PRECOT,Precot Limited,7(2),PRASHANTH CHANDRAN,2025-06-12 17:46:00,1183567,,0,0,0,0,Equity Shares,167889.0,543520,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183567_1466022_12062025054644_WEB.xml,Promoters,1987022.0,16.56,0.0,Equity Shares,2154911.0,17.96,,,,Gift,,NA,
SIGNPOST,Signpost India Limited,7(2),Pramina Suchanti,2025-06-12 17:41:00,1183566,,0,0,0,0,Equity Shares,25027.0,543517,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183566_1466014_12062025054155_WEB.xml,Promoters,187448.0,0.35,4969337.0,Equity Shares,162421.0,0.3,,,,Market Sale,,NSE,
SALASAR,Salasar Techno Engineering Limited,7(2),ALOK KUMAR,2025-06-12 17:32:00,1183564,,0,0,0,0,Equity Shares,2800000.0,543513,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183564_1466008_12062025053201_WEB.xml,Promoters,57544588.0,3.33,25031500.0,Equity Shares,54744588.0,3.17,,,,Market Sale,,NSE,
SALASAR,Salasar Techno Engineering Limited,7(2),BASE ENGINEERING LLP,2025-06-12 17:32:00,1183564,,0,0,0,0,Equity Shares,2713000.0,543514,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183564_1466008_12062025053201_WEB.xml,Promoter Group,16316458.0,0.94,24279220.0,Equity Shares,13603458.0,0.79,,,,Market Sale,,NSE,
SALASAR,Salasar Techno Engineering Limited,7(2),SHIKHAR FABTECH PVT LTD,2025-06-12 17:32:00,1183564,,0,0,0,0,Equity Shares,1835725.0,543515,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183564_1466008_12062025053201_WEB.xml,Promoter Group,73154904.0,4.24,16382371.0,Equity Shares,71319179.0,4.13,,,,Market Sale,,NSE,
INOXGREEN,Inox Green Energy Services Limited,7(2),Devansh Trademart LLP,2025-06-12 17:26:00,1183562,,0,0,0,0,Equity Shares,45000.0,543509,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183562_1465998_12062025052626_WEB.xml,Promoter Group,52000.0,0.01,8022016.0,Equity Shares,97000.0,0.03,,,,Market Purchase,,NSE,
PRECOT,Precot Limited,7(2),ASHWIN CHANDRAN,2025-06-12 17:10:00,1183558,,0,0,0,0,Equity Shares,167889.0,543504,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183558_1465987_12062025051016_WEB.xml,Promoters,2322801.0,19.36,0.0,Equity Shares,2154912.0,17.96,,,,Off Market,,NA,
SHARDAMOTR,Sharda Motor Industries Limited,7(2),Ajay Relan,2025-06-12 16:52:00,1183556,,0,0,0,0,Equity Shares,13203773.0,543502,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183556_1465976_12062025045248_WEB.xml,Promoters,16721017.0,58.25,0.0,Equity Shares,3517244.0,12.25,,,,Inter-se-Transfer,,NA,
USHAMART,Usha Martin Limited,7(2),PETERHOUSE  INVESTMENTS INDIA LIMITED,2025-06-12 16:49:00,1183555,,0,0,0,0,Equity Shares,600000.0,543501,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183555_1465970_12062025044937_WEB.xml,Promoter Group,7666529.0,2.52,186858000.0,Equity Shares,7066529.0,2.32,,,,Market Sale,,NSE,
BLISSGVS,Bliss GVS Pharma Limited,7(2),Mr. Gagan Harsh Sharma,2025-06-12 16:37:00,1183551,,0,0,0,0,Equity Shares,46657.0,543497,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183551_1465960_12062025043735_WEB.xml,Promoters,83570.0,0.07,6378095.0,Equity Shares,130227.0,0.12,,,,Market Purchase,,"BSE,NSE",
BLISSGVS,Bliss GVS Pharma Limited,7(2),Mr. Gagan Harsh Sharma,2025-06-12 16:37:00,1183551,,0,0,0,0,Equity Shares,1970.0,543498,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183551_1465960_12062025043735_WEB.xml,Promoters,130227.0,0.12,269357.0,Equity Shares,132197.0,0.12,,,,Market Purchase,,"BSE,NSE",
IMFA,Indian Metals & Ferro Alloys Limited,7(2),Rishab Khandelwal,2025-06-12 16:35:00,1183549,,0,0,0,0,Equity Shares,1000.0,543494,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183549_1465957_12062025043525_WEB.xml,Immediate relative,1200.0,0.0,725602.0,Equity Shares,2200.0,0.0,,,,Market Purchase,,NSE,
HPIL,Hindprakash Industries Limited,7(2),Om Prakash Mangal,2025-06-12 16:34:00,1183548,,0,0,0,0,Equity Shares,400000.0,543493,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183548_1465954_12062025043435_WEB.xml,Promoters,1470000.0,12.87,0.0,Equity Shares,1070000.0,9.37,,,,Gift,,NA,
NCLIND,NCL Industries Limited,7(2),P S Raju,2025-06-12 16:29:00,1183545,,0,0,0,0,Equity Shares,5000.0,543490,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183545_1465949_12062025042942_WEB.xml,Promoter Group,41283.0,0.09,1100000.0,Equity Shares,36283.0,0.08,,,,Market Sale,,NSE,
ORIENTBELL,Orient Bell Limited,7(2),Mahendra K Daga,2025-06-12 16:18:00,1183543,,0,0,0,0,Equity Shares,1521.0,543488,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183543_1465943_12062025041807_WEB.xml,Promoters,3002550.0,20.47,485564.0,Equity Shares,3004071.0,20.48,,,,Market Purchase,,NSE,
ORIENTBELL,Orient Bell Limited,7(2),Mahendra K Daga,2025-06-12 16:16:00,1183542,,0,0,0,0,Equity Shares,1521.0,543487,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183542_1465941_12062025041630_WEB.xml,Promoters,3002550.0,20.47,485564.0,Equity Shares,3004071.0,20.48,,,,Market Purchase,,NSE,
ORIENTBELL,Orient Bell Limited,7(2),Mahendra K Daga,2025-06-12 16:13:00,1183541,,0,0,0,0,Equity Shares,1521.0,543486,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183541_1465939_12062025041304_WEB.xml,Promoters,3002550.0,20.47,485564.0,Equity Shares,3004071.0,20.48,,,,Market Purchase,,NSE,
LCCINFOTEC,LCC Infotech Limited,7(2),RACHNA SUMAN SHAW,2025-06-12 16:09:00,1183539,,0,0,0,0,Equity Shares,8221343.0,543484,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183539_1465935_12062025040930_WEB.xml,Other,20795448.0,16.42,28856914.0,Equity Shares,29016791.0,22.92,,,,Off Market,,NA,
WIPRO,Wipro Limited,7(2),Srinivasaa Honnadevipura Govindagowda,2025-06-12 16:01:00,1183537,,0,0,0,0,ADR/GDR/FCCB,17500.0,543482,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183537_1465928_12062025040127_WEB.xml,Employees/Designated Employees,38016.0,0.0,4433562.0,ADR/GDR/FCCB,20516.0,0.0,,,,Market Sale,,NA,
NATCOPHARM,Natco Pharma Limited,7(2),PRAGNYA RAO DONTHINENI,2025-06-12 15:58:00,1183535,,0,0,0,0,Equity Shares,100.0,543480,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183535_1465923_12062025035813_WEB.xml,Other,303.0,0.0,86500.0,Equity Shares,403.0,0.0,,,,Market Purchase,,NSE,
GULFPETRO,GP Petroleums Limited,7(2),NIVAYA RESOURCES PRIVATE LIMITES,2025-06-12 15:58:00,1183534,,0,0,0,0,Equity Shares,172002.0,543479,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183534_1465921_12062025035812_WEB.xml,Promoters,1146897.0,2.25,8292181.0,Equity Shares,974895.0,1.91,,,,Market Sale,,BSE,
DAMODARIND,Damodar Industries Limited,7(2),Calves N Leaves InitiativesPrivate Limited,2025-06-12 14:43:00,1183531,,0,0,0,0,Equity Shares,76371.0,543476,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183531_1465859_12062025024341_WEB.xml,,500000.0,2.15,0.0,Equity Shares,423629.0,1.81,,,,Market Sale,,NSE,
DAMODARIND,Damodar Industries Limited,7(2),Aditya Biyani,2025-06-12 14:43:00,1183531,,0,0,0,0,Equity Shares,74025.0,543475,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183531_1465859_12062025024341_WEB.xml,,350000.0,1.5,0.0,Equity Shares,424025.0,1.82,,,,Market Purchase,,NSE,
SHAILY,Shaily Engineering Plastics Limited,7(2),Mrinal Kumar Nath,2025-06-12 14:13:00,1183530,,0,0,0,0,Equity Shares,50.0,543468,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183530_1465839_12062025021332_WEB.xml,,1300.0,0.0,1800.0,Equity Shares,1250.0,0.0,,,,Market Sale,,NSE,
SHAILY,Shaily Engineering Plastics Limited,7(2),Mrinal Kumar Nath,2025-06-12 14:13:00,1183530,,0,0,0,0,Equity Shares,100.0,543472,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183530_1465839_12062025021332_WEB.xml,,1100.0,0.0,1792.0,Equity Shares,1000.0,0.0,,,,Market Sale,,NSE,
SHAILY,Shaily Engineering Plastics Limited,7(2),Mrinal Kumar Nath,2025-06-12 14:13:00,1183530,,0,0,0,0,Equity Shares,50.0,543469,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183530_1465839_12062025021332_WEB.xml,,1250.0,0.0,1810.0,Equity Shares,1200.0,0.0,,,,Market Sale,,NSE,
SHAILY,Shaily Engineering Plastics Limited,7(2),Mrinal Kumar Nath,2025-06-12 14:13:00,1183530,,0,0,0,0,Equity Shares,50.0,543470,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183530_1465839_12062025021332_WEB.xml,,1350.0,0.0,1773.0,Equity Shares,1300.0,0.0,,,,Market Sale,,NSE,
SHAILY,Shaily Engineering Plastics Limited,7(2),Mrinal Kumar Nath,2025-06-12 14:13:00,1183530,,0,0,0,0,Equity Shares,100.0,543471,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183530_1465839_12062025021332_WEB.xml,,1200.0,0.0,1782.0,Equity Shares,1100.0,0.0,,,,Market Sale,,NSE,
DPSCLTD,DPSC Limited,7(2),Aksara Commercial Private Limited,2025-06-12 14:00:00,1183528,,0,0,0,0,Equity Shares,200000.0,543462,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183528_1465833_12062025020035_WEB.xml,Promoter Group,62620045.0,6.43,2697231.0,Equity Shares,62420045.0,6.41,,,,Market Sale,,NSE,
SAGARDEEP,Sagardeep Alloys Limited,7(2),SATISHKUMAR ASAMAL MEHTA (HUF),2025-06-12 13:50:00,1183526,,0,0,0,0,Equity Shares,10869.0,543460,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183526_1465829_12062025015013_WEB.xml,Promoters,328500.0,1.93,343629.0,Equity Shares,339369.0,1.99,,,,Market Purchase,,NSE,
STARCEMENT,Star Cement Limited,7(2),VINAY AND COMPANY,2025-06-12 13:11:00,1183524,,0,0,0,0,Equity Shares,2100.0,543458,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183524_1465813_12062025011128_WEB.xml,Promoter Group,1103500.0,0.27,460877.0,Equity Shares,1101400.0,0.27,,,,Market Sale,,NSE,
STARCEMENT,Star Cement Limited,7(2),Suchita Agarwal,2025-06-12 13:11:00,1183524,,0,0,0,0,Equity Shares,5000.0,543459,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183524_1465813_12062025011128_WEB.xml,Promoter Group,814535.0,0.2,1087131.0,Equity Shares,809535.0,0.2,,,,Market Sale,,BSE,
DHRUV,Dhruv Consultancy Services Limited,7(2),Pandurang B Dandawate,2025-06-12 12:57:00,1183521,,0,0,0,0,Equity Shares,22.0,543454,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183521_1465805_12062025125715_WEB.xml,Promoters,4041957.0,21.31,1553.0,Equity Shares,4041979.0,21.31,,,,Market Purchase,,NSE,
DHRUV,Dhruv Consultancy Services Limited,7(2),Pandurang B Dandawate,2025-06-12 12:57:00,1183521,,0,0,0,0,Equity Shares,21.0,543453,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183521_1465805_12062025125715_WEB.xml,Promoters,4041936.0,21.31,1495.0,Equity Shares,4041957.0,21.31,,,,Market Purchase,,NSE,
DHRUV,Dhruv Consultancy Services Limited,7(2),Pandurang B Dandawate HUF,2025-06-12 12:49:00,1183519,,0,0,0,0,Equity Shares,33.0,543450,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183519_1465794_12062025124901_WEB.xml,Other,1292.0,0.01,2336.0,Equity Shares,1325.0,0.01,,,,Market Purchase,,NSE,
DHRUV,Dhruv Consultancy Services Limited,7(2),Pandurang B Dandawate HUF,2025-06-12 12:49:00,1183519,,0,0,0,0,Equity Shares,21.0,543449,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183519_1465794_12062025124901_WEB.xml,Other,1271.0,0.01,1504.0,Equity Shares,1292.0,0.01,,,,Market Purchase,,NSE,
AFFLE,Affle 3i Limited,7(2),Affle (India) Limited Employees Welfare Trust,2025-06-12 12:45:00,1183517,,0,0,0,0,Equity Shares,5805.0,543446,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183517_1465788_12062025124547_WEB.xml,Other,112338.0,0.04,11092521.0,Equity Shares,106533.0,0.04,,,,ESOP,,NSE,
