symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
LCCINFOTEC,LCC Infotech Limited,7(2),SHREERAM BAGLA,2025-06-12 12:40:00,1183515,,0,0,0,0,Equity Shares,14756791.0,543445,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183515_1465783_12062025124057_WEB.xml,Other,14268975.0,11.27,51796336.0,Equity Shares,29025766.0,22.93,,,,Off Market,,NA,
NIBL,NRB Industrial Bearings Limited,7(2),Ambita Sahney,2025-06-12 12:19:00,1183512,,0,0,0,0,Equity Shares,373175.0,543442,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183512_1465774_12062025121907_WEB.xml,Promoters,373175.0,1.54,11307203.0,Equity Shares,,0.0,,,,Inter-se-Transfer,,NA,
NIBL,NRB Industrial Bearings Limited,7(2),Devesh Singh Sahney,2025-06-12 12:19:00,1183512,,0,0,0,0,Equity Shares,373175.0,543441,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183512_1465774_12062025121907_WEB.xml,Promoters,4749736.0,19.6,11307203.0,Equity Shares,5122911.0,21.14,,,,Inter-se-Transfer,,NA,
MASTERTR,Master Trust Limited,7(2),HARJEET SINGH ARORA,2025-06-12 11:49:00,1183510,,0,0,0,0,Equity Shares,1300000.0,543437,Pledge,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183510_1465769_12062025114924_WEB.xml,Promoters,15868480.0,14.13,216229000.0,Equity Shares,15868480.0,14.13,,,,Pledge Creation,,NA,
MASTERTR,Master Trust Limited,7(2),RAJINDER KUMAR SINGHANIA,2025-06-12 11:49:00,1183510,,0,0,0,0,Equity Shares,1300000.0,543438,Pledge,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183510_1465769_12062025114924_WEB.xml,Promoters,25803570.0,22.98,216229000.0,Equity Shares,25803570.0,22.98,,,,Pledge Creation,,NA,
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),NIDHI VERMA,2025-06-12 11:41:00,1183508,,0,0,0,0,Equity Shares,1480.0,543434,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183508_1465765_12062025114144_WEB.xml,Employees/Designated Employees,,0.0,1670180.0,Equity Shares,1480.0,0.0,,,,ESOP,,NA,
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,2025-06-12 11:27:00,1183506,,0,0,0,0,Equity Shares,3441.0,543432,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183506_1465760_12062025112702_WEB.xml,Other,668175.0,1.4,12749620.0,Equity Shares,671616.0,1.4,,,,Market Purchase,,NSE,
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,2025-06-12 11:27:00,1183506,,0,0,0,0,Equity Shares,3470.0,543431,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183506_1465760_12062025112702_WEB.xml,Other,664705.0,1.39,12747159.0,Equity Shares,668175.0,1.4,,,,Market Purchase,,NSE,
DIAMINESQ,Diamines & Chemicals Limited,7(2),Harsh A Mehta,2025-06-12 10:06:00,1183503,,0,0,0,0,Equity Shares,9.0,543427,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183503_1465739_12062025100647_WEB.xml,Promoters,504581.0,5.16,3364.0,Equity Shares,504590.0,5.16,,,,Market Purchase,,BSE,
DIAMINESQ,Diamines & Chemicals Limited,7(2),Amit M Mehta,2025-06-12 10:06:00,1183503,,0,0,0,0,Equity Shares,549.0,543425,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183503_1465739_12062025100647_WEB.xml,Promoters,1266032.0,12.94,212157.0,Equity Shares,1266581.0,12.95,,,,Market Purchase,,BSE,
DIAMINESQ,Diamines & Chemicals Limited,7(2),Cherry A Mehta,2025-06-12 10:06:00,1183503,,0,0,0,0,Equity Shares,50.0,543424,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183503_1465739_12062025100647_WEB.xml,Promoters,1067824.0,10.91,18552.0,Equity Shares,1067874.0,10.91,,,,Market Purchase,,BSE,
DIAMINESQ,Diamines & Chemicals Limited,7(2),Mohak A Mehta,2025-06-12 10:06:00,1183503,,0,0,0,0,Equity Shares,50.0,543426,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183503_1465739_12062025100647_WEB.xml,Promoters,496901.0,5.08,18552.0,Equity Shares,496951.0,5.08,,,,Market Purchase,,BSE,
